FSTR_LOOPGROUPID,FDT_TIME,FSTR_VALIDITY,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY
ZHWX33(1),2019/11/4 16:58,valid,7,77,8
ZHWX33(1),2019/11/4 17:01,valid,8,70,10
ZHWX33(1),2019/11/4 16:44,valid,8,74,9
ZHWX33(1),2019/11/4 16:55,valid,6,81,7
ZHWX33(1),2019/11/4 16:47,valid,9,74,10
ZHWX33(1),2019/11/4 19:54,valid,2,79,2
ZHWX33(1),2019/11/4 19:53,valid,5,76,5
ZHWX33(1),2019/11/4 19:53,valid,5,82,6
ZHWX33(1),2019/11/4 5:34,valid,1,76,1
ZHWX33(1),2019/11/4 5:43,valid,3,81,3
ZHWX33(1),2019/11/4 5:42,valid,2,75,2
ZHWX33(1),2019/11/4 5:43,valid,2,94,2
ZHWX33(1),2019/11/4 5:42,valid,1,83,1
ZHWX33(1),2019/11/4 5:45,valid,4,81,4
ZHWX33(1),2019/11/4 5:45,valid,1,83,1
ZHWX33(1),2019/11/4 5:38,valid,3,76,3
ZHWX33(1),2019/11/4 5:41,valid,2,76,2
ZHWX33(1),2019/11/4 5:37,valid,2,82,2
ZHWX33(1),2019/11/4 17:31,valid,7,80,8
ZHWX33(1),2019/11/4 17:34,valid,7,71,9
ZHWX33(1),2019/11/4 17:42,valid,12,51,20
ZHWX33(1),2019/11/4 17:44,valid,8,27,24
ZHWX33(1),2019/11/4 17:50,valid,9,28,28
ZHWX33(1),2019/11/4 17:52,valid,9,35,22
ZHWX33(1),2019/11/4 17:54,valid,4,7,45
ZHWX33(1),2019/11/4 17:36,valid,9,74,10
ZHWX33(1),2019/11/4 5:40,valid,3,88,3
ZHWX33(1),2019/11/4 22:57,valid,5,84,6
ZHWX33(1),2019/11/4 22:55,valid,3,80,3
ZHWX33(1),2019/11/4 22:57,valid,8,80,8
ZHWX33(1),2019/11/4 22:58,valid,2,78,2
ZHWX33(1),2019/11/4 22:55,valid,5,79,5
ZHWX33(1),2019/11/4 22:57,valid,6,87,6
ZHWX33(1),2019/11/4 22:49,valid,4,80,4
ZHWX33(1),2019/11/4 22:49,valid,5,81,5
ZHWX33(1),2019/11/4 22:17,valid,6,80,6
ZHWX33(1),2019/11/4 17:46,valid,10,39,22
ZHWX33(1),2019/11/4 17:49,valid,3,6,45
ZHWX33(1),2019/11/4 17:57,valid,9,49,17
ZHWX33(1),2019/11/4 17:59,valid,9,59,12
ZHWX33(1),2019/11/4 17:30,valid,5,78,7
ZHWX33(1),2019/11/4 22:49,valid,5,87,6
ZHWX33(1),2019/11/4 22:50,valid,5,79,4
ZHWX33(1),2019/11/4 22:50,valid,6,74,6
ZHWX33(1),2019/11/4 22:16,valid,7,74,8
ZHWX33(1),2019/11/4 9:09,valid,9,73,10
ZHWX33(1),2019/11/4 9:11,valid,11,76,13
ZHWX33(1),2019/11/4 9:14,valid,8,81,8
ZHWX33(1),2019/11/4 9:10,valid,6,75,6
ZHWX33(1),2019/11/4 9:13,valid,9,71,11
ZHWX33(1),2019/11/4 9:09,valid,10,72,12
ZHWX33(1),2019/11/4 9:12,valid,9,75,9
ZHWX33(1),2019/11/4 9:11,valid,8,76,9
ZHWX33(1),2019/11/4 13:09,valid,6,74,8
ZHWX33(1),2019/11/4 13:17,valid,7,75,8
ZHWX33(1),2019/11/4 13:19,valid,7,84,7
ZHWX33(1),2019/11/4 13:21,valid,6,80,6
ZHWX33(1),2019/11/4 13:11,valid,9,70,11
ZHWX33(1),2019/11/4 13:13,valid,5,70,6
ZHWX33(1),2019/11/4 13:16,valid,7,84,7
ZHWX33(1),2019/11/4 13:46,valid,3,82,3
ZHWX33(1),2019/11/4 13:40,valid,5,70,7
ZHWX33(1),2019/11/4 9:10,valid,8,76,11
ZHWX33(1),2019/11/4 9:12,valid,4,72,5
ZHWX33(1),2019/11/4 9:13,valid,11,75,13
ZHWX33(1),2019/11/4 9:09,valid,8,75,9
ZHWX33(1),2019/11/4 9:11,valid,10,76,11
ZHWX33(1),2019/11/4 16:44,valid,9,77,11
ZHWX33(1),2019/11/4 16:44,valid,7,78,7
ZHWX33(1),2019/11/4 16:39,valid,7,72,9
ZHWX33(1),2019/11/4 16:43,valid,7,79,8
ZHWX33(1),2019/11/4 16:38,valid,6,78,6
ZHWX33(1),2019/11/4 4:31,valid,0,0,0
ZHWX33(1),2019/11/4 4:25,valid,1,74,1
ZHWX33(1),2019/11/4 4:28,valid,1,89,1
ZHWX33(1),2019/11/4 4:26,valid,0,0,0
ZHWX33(1),2019/11/4 4:27,valid,2,85,2
ZHWX33(1),2019/11/4 4:25,valid,1,77,1
ZHWX33(1),2019/11/4 4:30,valid,0,0,0
