FSTR_LOOPGROUPID,FDT_TIME,FSTR_VALIDITY,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY
ZHWX35(1),2019-11-04 16:45:20,valid,7,70,7
ZHWX35(1),2019-11-04 16:48:20,valid,8,74,8
ZHWX35(1),2019-11-04 16:58:00,valid,8,71,9
ZHWX35(1),2019-11-04 19:53:00,valid,7,74,7
ZHWX35(1),2019-11-04 19:54:20,valid,7,72,8
ZHWX35(1),2019-11-04 19:53:20,valid,8,76,8
ZHWX35(1),2019-11-04 19:53:40,valid,5,79,5
ZHWX35(1),2019-11-04 19:55:20,valid,3,74,3
ZHWX35(1),2019-11-04 19:57:40,valid,6,74,6
ZHWX35(1),2019-11-04 05:43:20,valid,1,78,1
ZHWX35(1),2019-11-04 05:42:40,valid,3,77,4
ZHWX35(1),2019-11-04 05:43:00,valid,2,86,2
ZHWX35(1),2019-11-04 05:42:20,valid,4,78,4
ZHWX35(1),2019-11-04 05:45:40,valid,4,77,4
ZHWX35(1),2019-11-04 05:38:40,valid,1,74,1
ZHWX35(1),2019-11-04 05:41:00,valid,3,80,3
ZHWX35(1),2019-11-04 17:37:20,valid,3,8,37
ZHWX35(1),2019-11-04 17:45:20,valid,8,21,29
ZHWX35(1),2019-11-04 17:47:40,valid,6,9,43
ZHWX35(1),2019-11-04 17:50:00,valid,9,24,33
ZHWX35(1),2019-11-04 17:55:40,valid,9,23,29
ZHWX35(1),2019-11-04 17:58:00,valid,11,41,21
ZHWX35(1),2019-11-04 17:31:40,valid,6,52,10
ZHWX35(1),2019-11-04 17:39:40,valid,3,17,67
ZHWX35(1),2019-11-04 17:42:00,valid,8,20,31
ZHWX35(1),2019-11-04 05:40:00,valid,2,86,2
ZHWX35(1),2019-11-04 05:37:40,valid,4,77,4
ZHWX35(1),2019-11-04 22:55:20,valid,5,84,5
ZHWX35(1),2019-11-04 22:57:20,valid,5,75,6
ZHWX35(1),2019-11-04 22:58:20,valid,8,72,8
ZHWX35(1),2019-11-04 22:57:40,valid,4,78,4
ZHWX35(1),2019-11-04 22:57:00,valid,5,79,5
ZHWX35(1),2019-11-04 22:16:00,valid,7,72,7
ZHWX35(1),2019-11-04 22:48:20,valid,4,76,4
ZHWX35(1),2019-11-04 17:52:20,valid,9,27,28
ZHWX35(1),2019-11-04 17:34:00,valid,5,22,18
ZHWX35(1),2019-11-04 17:36:20,valid,4,24,57
ZHWX35(1),2019-11-04 22:17:20,valid,8,74,10
ZHWX35(1),2019-11-04 22:48:40,valid,9,78,10
ZHWX35(1),2019-11-04 22:49:00,valid,5,81,4
ZHWX35(1),2019-11-04 22:49:20,valid,3,74,3
ZHWX35(1),2019-11-04 22:50:00,valid,6,77,6
ZHWX35(1),2019-11-04 09:10:20,valid,9,72,10
ZHWX35(1),2019-11-04 09:12:40,valid,9,75,10
ZHWX35(1),2019-11-04 09:09:20,valid,7,80,8
ZHWX35(1),2019-11-04 09:11:40,valid,6,74,6
ZHWX35(1),2019-11-04 09:10:40,valid,10,66,13
ZHWX35(1),2019-11-04 09:13:20,valid,5,73,6
ZHWX35(1),2019-11-04 09:09:40,valid,7,72,7
ZHWX35(1),2019-11-04 09:14:20,valid,10,72,10
ZHWX35(1),2019-11-04 09:12:00,valid,8,75,9
ZHWX35(1),2019-11-04 09:11:00,valid,9,69,11
ZHWX35(1),2019-11-04 13:12:20,valid,10,65,12
ZHWX35(1),2019-11-04 13:22:40,valid,5,75,6
ZHWX35(1),2019-11-04 13:14:40,valid,8,67,9
ZHWX35(1),2019-11-04 13:17:00,valid,10,78,9
ZHWX35(1),2019-11-04 13:19:20,valid,4,80,3
ZHWX35(1),2019-11-04 13:39:20,valid,10,69,11
ZHWX35(1),2019-11-04 13:41:40,valid,8,69,9
ZHWX35(1),2019-11-04 13:44:00,valid,3,73,3
ZHWX35(1),2019-11-04 09:10:00,valid,7,73,8
ZHWX35(1),2019-11-04 09:12:20,valid,12,72,12
ZHWX35(1),2019-11-04 09:09:00,valid,7,74,8
ZHWX35(1),2019-11-04 09:13:00,valid,6,74,6
ZHWX35(1),2019-11-04 16:42:20,valid,4,67,6
ZHWX35(1),2019-11-04 16:39:00,valid,6,73,6
ZHWX35(1),2019-11-04 16:43:40,valid,8,70,10
ZHWX35(1),2019-11-04 16:38:00,valid,2,70,2
ZHWX35(1),2019-11-04 04:27:20,valid,1,83,1
ZHWX35(1),2019-11-04 04:29:40,valid,0,0,0
ZHWX35(1),2019-11-04 04:25:00,valid,0,0,0
ZHWX35(1),2019-11-04 04:28:40,valid,0,0,0
ZHWX35(1),2019-11-04 04:31:00,valid,0,0,0
ZHWX35(1),2019-11-04 04:26:20,valid,0,0,0
ZHWX35(1),2019-11-04 04:30:00,valid,0,0,0
ZHWX35(1),2019-11-04 04:25:20,valid,0,0,0
ZHWX35(1),2019-11-04 04:27:40,valid,1,73,1
ZHWX35(1),2019-11-04 13:46:20,valid,8,76,8
ZHWX35(1),2019-11-04 13:40:40,valid,4,78,6
ZHWX35(1),2019-11-04 13:43:00,valid,10,71,11
ZHWX35(1),2019-11-04 03:19:40,valid,0,0,0
