FSTR_LOOPGROUPID,FDT_TIME,FSTR_VALIDITY,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY
ZHWX38(1),2019-11-05 06:39:00,valid,6,75,7
ZHWX38(1),2019-11-05 06:40:20,valid,6,74,8
ZHWX38(1),2019-11-05 06:38:40,valid,7,80,8
ZHWX38(1),2019-11-05 06:40:00,valid,7,78,8
ZHWX38(1),2019-11-05 06:39:40,valid,5,83,6
ZHWX38(1),2019-11-05 06:38:20,valid,7,79,9
ZHWX38(1),2019-11-05 06:39:20,valid,5,82,6
ZHWX38(1),2019-11-05 03:19:20,valid,0,0,0
ZHWX38(1),2019-11-05 03:19:40,valid,0,0,0
ZHWX38(1),2019-11-05 03:15:40,valid,0,0,0
ZHWX38(1),2019-11-05 03:16:00,valid,0,0,0
ZHWX38(1),2019-11-05 03:12:00,valid,0,0,0
ZHWX38(1),2019-11-05 03:15:00,valid,0,0,0
ZHWX38(1),2019-11-05 03:10:20,valid,0,0,0
ZHWX38(1),2019-11-05 03:14:20,valid,0,0,0
ZHWX38(1),2019-11-05 03:17:40,valid,0,0,0
ZHWX38(1),2019-11-05 03:16:40,valid,0,0,0
ZHWX38(1),2019-11-05 03:11:20,valid,1,82,1
ZHWX38(1),2019-11-05 03:13:40,valid,1,84,1
ZHWX38(1),2019-11-05 03:13:00,valid,0,0,0
ZHWX38(1),2019-11-05 06:45:20,valid,12,71,15
ZHWX38(1),2019-11-05 19:04:00,valid,7,68,11
ZHWX38(1),2019-11-05 19:05:20,valid,6,80,8
ZHWX38(1),2019-11-05 19:03:20,valid,8,64,12
ZHWX38(1),2019-11-05 19:09:00,valid,8,52,17
ZHWX38(1),2019-11-05 19:09:20,valid,7,53,12
ZHWX38(1),2019-11-05 19:09:40,valid,7,75,8
ZHWX38(1),2019-11-05 19:10:00,valid,6,75,9
ZHWX38(1),2019-11-05 19:07:40,valid,6,67,9
ZHWX38(1),2019-11-05 19:07:00,valid,8,81,10
ZHWX38(1),2019-11-05 19:12:20,valid,4,69,6
ZHWX38(1),2019-11-05 19:06:20,valid,4,79,8
ZHWX38(1),2019-11-05 19:10:20,valid,5,71,8
ZHWX38(1),2019-11-05 19:10:40,valid,7,77,9
ZHWX38(1),2019-11-05 19:05:00,valid,8,81,9
ZHWX38(1),2019-11-05 19:04:20,valid,8,81,10
ZHWX38(1),2019-11-05 19:05:40,valid,2,78,4
ZHWX38(1),2019-11-05 19:11:00,valid,7,71,11
ZHWX38(1),2019-11-05 19:11:20,valid,5,73,7
ZHWX38(1),2019-11-05 19:11:40,valid,7,70,10
ZHWX38(1),2019-11-05 19:03:40,valid,11,66,16
ZHWX38(1),2019-11-05 19:12:00,valid,7,74,10
ZHWX38(1),2019-11-05 21:44:20,valid,9,69,11
ZHWX38(1),2019-11-05 19:08:00,valid,8,73,10
ZHWX38(1),2019-11-05 19:07:20,valid,9,62,14
ZHWX38(1),2019-11-05 19:25:40,valid,7,79,9
ZHWX38(1),2019-11-05 19:26:00,valid,6,75,7
ZHWX38(1),2019-11-05 19:15:20,valid,3,72,4
ZHWX38(1),2019-11-05 19:14:40,valid,5,76,6
ZHWX38(1),2019-11-05 19:28:00,valid,7,78,8
ZHWX38(1),2019-11-05 19:14:00,valid,4,81,7
ZHWX38(1),2019-11-05 19:13:20,valid,5,81,6
ZHWX38(1),2019-11-05 19:28:20,valid,8,79,9
ZHWX38(1),2019-11-05 19:12:40,valid,7,75,9
ZHWX38(1),2019-11-05 19:15:40,valid,9,76,11
ZHWX38(1),2019-11-05 19:26:20,valid,7,79,8
ZHWX38(1),2019-11-05 21:44:00,valid,6,75,10
ZHWX38(1),2019-11-05 21:45:20,valid,8,67,12
ZHWX38(1),2019-11-05 01:40:40,valid,0,0,0
ZHWX38(1),2019-11-05 01:40:20,valid,0,0,0
ZHWX38(1),2019-11-05 01:43:20,valid,0,0,0
ZHWX38(1),2019-11-05 08:15:00,valid,8,76,10
ZHWX38(1),2019-11-05 08:17:20,valid,10,74,13
ZHWX38(1),2019-11-05 08:18:20,valid,10,55,19
ZHWX38(1),2019-11-05 08:17:40,valid,9,71,13
ZHWX38(1),2019-11-05 08:18:00,valid,11,59,16
ZHWX38(1),2019-11-05 08:14:20,valid,3,83,4
ZHWX38(1),2019-11-05 08:16:40,valid,6,77,8
ZHWX38(1),2019-11-05 08:16:00,valid,3,92,3
ZHWX38(1),2019-11-05 08:17:00,valid,6,71,7
ZHWX38(1),2019-11-05 08:15:20,valid,6,84,7
ZHWX38(1),2019-11-05 08:14:40,valid,5,71,8
ZHWX38(1),2019-11-05 08:16:20,valid,11,72,16
ZHWX38(1),2019-11-05 08:14:00,valid,7,84,8
ZHWX38(1),2019-11-05 08:15:40,valid,4,81,5
ZHWX38(1),2019-11-05 08:19:40,valid,11,57,19
ZHWX38(1),2019-11-05 08:19:20,valid,11,55,18
ZHWX38(1),2019-11-05 02:29:00,valid,0,0,0
ZHWX38(1),2019-11-05 04:12:40,valid,0,0,0
ZHWX38(1),2019-11-05 04:12:20,valid,0,0,1
ZHWX38(1),2019-11-05 04:15:00,valid,0,0,0
